tech,PrimeMovers,ThermalFuels,NameplateLimit_MW,FOR,POR,MTTR
coal_st,ST,COAL,99,6.92,6.64,44
coal_st,ST,COAL,199,8.64,7.78,44
coal_st,ST,COAL,299,10.66,8.52,44
coal_st,ST,COAL,399,9.46,9.52,44
coal_st,ST,COAL,599,9.22,9.34,44
coal_st,ST,COAL,799,8.2,8.85,44
coal_st,ST,COAL,999,8.87,9.82,44
coal_st,ST,COAL,9999,12.17,13.63,44
oil_st,ST,NA,99,12.27,4.24,44
oil_st,ST,NA,199,9.87,7.21,44
oil_st,ST,NA,299,3.32,5.08,44
oil_st,ST,NA,399,5.15,11.71,44
oil_st,ST,NA,599,6.9,8.58,44
oil_st,ST,NA,799,6.46,11.1,44
oil_st,ST,NA,999,4.72,16.32,44
gas_st,ST,NATURAL_GAS,99,10.59,6.79,44
gas_st,ST,NATURAL_GAS,199,7.15,10.44,44
gas_st,ST,NATURAL_GAS,299,7.35,9.87,44
gas_st,ST,NATURAL_GAS,399,7.04,12.16,44
gas_st,ST,NATURAL_GAS,599,12.82,11.74,44
gas_st,ST,NATURAL_GAS,799,11.57,18.67,44
gas_st,ST,NATURAL_GAS,999,5.57,9.95,44
nuclear,ST,NUCLEAR,799,2.36,4.95,126
nuclear,ST,NUCLEAR,999,1.51,5.2,126
nuclear,ST,NUCLEAR,9999,1.94,5.84,126
gt,GT,NATURAL_GAS,19,9.27,2.97,31
gt,GT,NATURAL_GAS,49,7.1,3.27,31
gt,GT,NATURAL_GAS,9999,5.81,4.78,31
cc,CC,NATURAL_GAS,9999,3.93,8.02,21
hydro,HY,NA,29,13.09,11,22
hydro,HY,NA,9999,5.15,11.6,22
ct,CT,NATURAL_GAS,9999,3.93,8.02,31
